exchange,exchange_token,trading_symbol,groww_symbol,company_name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,2004,AHLADA,NSE-AHLADA,Ahlada Engineers,EQ,CASH,EQ,INE00PV01013,,,,,1,0.01,,,1,1,AHLADA-EQ,0
NSE,25977,AFCONS,NSE-AFCONS,Afcons Infra,EQ,CASH,EQ,INE101I01011,,,,,1,0.05,,,1,1,AFCONS-EQ,1
NSE,6068,AIROLAM,NSE-AIROLAM,AiroLam,EQ,CASH,EQ,INE801L01010,,,,,1,0.01,,,1,1,AIROLAM-EQ,0
NSE,762538,AKCAPIT,NSE-AKCAPIT,AK Capital Serv,EQ,CASH,EQ,INE701G01012,,,,,1,0.1,,,1,1,AKCAPIT-EQ,0
NSE,20178,AKSHARCHEM,NSE-AKSHARCHEM,Aksharchem (India),EQ,CASH,EQ,INE542B01011,,,,,1,0.01,,,1,1,AKSHARCHEM-EQ,0
NSE,3389,AGARIND,NSE-AGARIND,Agarwal Inds Corp,EQ,CASH,EQ,INE204E01012,,,,,1,0.05,,,1,1,AGARIND-EQ,1
NSE,29452,AGARWALEYE,NSE-AGARWALEYE,Dr. Agarwal's Health,EQ,CASH,EQ,INE943P01029,,,,,1,0.05,,,1,1,AGARWALEYE-EQ,1
NSE,18268,AEROFLEX,NSE-AEROFLEX,Aeroflex Industries,EQ,CASH,EQ,INE024001021,,,,,1,0.05,,,1,1,AEROFLEX-EQ,1
NSE,14597,ALPHAGEO,NSE-ALPHAGEO,Alphageo (India),EQ,CASH,EQ,INE137C01018,,,,,1,0.01,,,1,1,ALPHAGEO-EQ,0
NSE,24715,AKUMS,NSE-AKUMS,Akums Drugs & Pharmaceuticals,EQ,CASH,EQ,INE09XN01023,,,,,1,0.05,,,1,1,AKUMS-EQ,1
NSE,13689,AERONEU,NSE-AERONEU,Aeroflex Neu,EQ,CASH,EQ,INE035801013,,,,,1,0.01,,,1,1,AERONEU-EQ,0
NSE,19438,AHLEAST,NSE-AHLEAST,Asian Hotels East,EQ,CASH,EQ,INE926K01017,,,,,1,0.01,,,1,1,AHLEAST-EQ,0
NSE,761670,AMIRCHAND,NSE-AMIRCHAND,Amir Chand Jagdish,EQ,CASH,EQ,INE05TO01019,,,,,1,0.01,,,1,1,AMIRCHAND-EQ,0
NSE,16719,ALMONDZ,NSE-ALMONDZ,Almondz Global Sec,EQ,CASH,EQ,INE326B01035,,,,,1,0.01,,,1,1,ALMONDZ-EQ,0
NSE,9558,AKSHAR,NSE-AKSHAR,Akshar Spintex,EQ,CASH,EQ,INE256Z01025,,,,,1,0.01,,,1,1,AKSHAR-EQ,0
NSE,11343,AFFLE,NSE-AFFLE,Affle 3i,EQ,CASH,EQ,INE00WC01027,,,,,1,0.1,,,1,1,AFFLE-EQ,1
NSE,12015,AEROENTER,NSE-AEROENTER,AEROFLEX ENTERPRISES LIMITED,EQ,CASH,EQ,INE065D01027,,,,,1,0.01,,,1,1,AEROENTER-EQ,1
NSE,136,ANDHRSUGAR,NSE-ANDHRSUGAR,Andhra Sugars,EQ,CASH,EQ,INE715B01021,,,,,1,0.01,,,1,1,ANDHRSUGAR-EQ,1
NSE,15234,AMBIKCO,NSE-AMBIKCO,Ambika Cotton Mills,EQ,CASH,EQ,INE540G01014,,,,,1,0.1,,,1,1,AMBIKCO-EQ,1
NSE,9921,ALANKIT,NSE-ALANKIT,Alankit,EQ,CASH,EQ,INE914E01040,,,,,1,0.01,,,1,1,ALANKIT-EQ,0
